Source;Target;Type;Weight;book;Gender
Hizdahr-zo-Loraq;Qezza;undirected;3;5;M
Hizdahr-zo-Loraq;Quentyn-Martell;undirected;15;5;M
Hizdahr-zo-Loraq;Reznak-mo-Reznak;undirected;13;5;M
Hizdahr-zo-Loraq;Skahaz-mo-Kandaq;undirected;29;5;M
Hizdahr-zo-Loraq;Spotted-Cat;undirected;5;5;M
Hizdahr-zo-Loraq;Steelskin;undirected;3;5;M
Hobb;JON;undirected;4;5;M
Hobb;Melisandre;undirected;3;5;M
Hobb;Mully;undirected;3;5;M
Hobb;Owen;undirected;5;5;M
Hodor;Jojen-Reed;undirected;11;5;M
Hodor;Meera-Reed;undirected;21;5;M
Holly;Jeyne-Poole;undirected;4;5;F
Holly;Rowan;undirected;3;5;F
Holly;Theon-Greyjoy;undirected;10;5;F
Hop-Robin;JON;undirected;4;5;M
Hosteen-Frey;Wyman-Manderly;undirected;5;5;M
Hoster-Blackwood;Jaime-Lannister;undirected;4;5;M
Hother-Umber;Jon-Umber-(Greatjon);undirected;3;5;M
Hother-Umber;Mors-Umber;undirected;3;5;M
Hother-Umber;Ramsay-Snow;undirected;5;5;M
Hother-Umber;Wyman-Manderly;undirected;5;5;M
Illyrio-Mopatis;Jon-Connington;undirected;6;5;M
Illyrio-Mopatis;Rolly-Duckfield;undirected;6;5;M
Illyrio-Mopatis;Tyrion-Lannister;undirected;30;5;M
Ilyn-Payne;Meryn-Trant;undirected;3;5;M
Ilyn-Payne;Rafford;undirected;3;5;M
Irri;Jhiqui;undirected;24;5;F
Irri;Missandei;undirected;9;5;F
Irri;Rakharo;undirected;5;5;F
Irri;Skahaz-mo-Kandaq;undirected;5;5;F
Jack-Bulwer;JON;undirected;3;5;M
Jaime-Lannister;Jonos-Bracken;undirected;9;5;M
Jaime-Lannister;Josmyn-Peckledon;undirected;3;5;M
Jaime-Lannister;Kevan-Lannister;undirected;3;5;M
Jaime-Lannister;ROBERT;undirected;4;5;M
Jaime-Lannister;Tyrion-Lannister;undirected;4;5;M
Jaime-Lannister;Tytos-Blackwood;undirected;6;5;M
Janos-Slynt;JON;undirected;16;5;M
Jared-Frey;Rhaegar-Frey;undirected;3;5;M
Jeor-Mormont;JON;undirected;11;5;M
